Key	FileSize	Hash	PutTime	MimeType	FileType	EndUser
cet6/audio/cet6-2022-09-set1.mp3	4836220	ltEPDLQbwLMVfEI2mpcvBJv4phgC	17649427980402814	audio/mpeg	0	
cet6/audio/cet6-2022-12-set1.mp3	4816770	lrr5PKCH2Y7VPpJatyyhQAbGuvDi	17649428002845444	audio/mpeg	0	
cet6/audio/cet6-2022-12-set2.mp3	4670587	lgwqXOHmu0KxXMt9WY7aA8334Gb6	17649428023345189	audio/mpeg	0	
cet6/audio/cet6-2023-03-set1.mp3	4638320	ljXdFyXyO0wUeexSIDwk-g51Uxzp	17649428044084110	audio/mpeg	0	
cet6/audio/cet6-2023-06-set1.mp3	4867096	lnGgIkgR4T1592aCZ68shWOOM01m	17649428065839593	audio/mpeg	0	
cet6/audio/cet6-2023-06-set2.mp3	4867191	lrYgc7z4uGImUjpNnmBXuAzaiKce	17649428092857103	audio/mpeg	0	
cet6/audio/cet6-2023-12-set1.mp3	4614123	ln1byrSrA3Si54i0z39UAZdQ6W-D	17649428118918854	audio/mpeg	0	
cet6/audio/cet6-2023-12-set2.mp3	4605643	liDC4a6HWFF9nzIg99gxX1f91xpV	17649428146627023	audio/mpeg	0	
cet6/audio/cet6-2024-06-set1.mp3	4771487	lhC0G1dC4tUi_r0rggcB41HIoi15	17649428177261067	audio/mpeg	0	
cet6/audio/cet6-2024-06-set2.mp3	4561348	lnQqaCHjmss-UiAhxkGHcvG-H3Lc	17649428206035264	audio/mpeg	0	
cet6/audio/cet6-2024-12-set1.mp3	4906476	lje5oUa7T5ww7hz_MrNNKvgIW4JY	17649428236551200	audio/mpeg	0	
cet6/audio/cet6-2024-12-set2.mp3	4830413	lt35URQDDdvOc7ohvivg2Yu5nLUh	17649428264037015	audio/mpeg	0	
cet6/audio/cet6-2025-06-set1.mp3	4587324	lq37GR1wuu12x4mtFMPgyvRf5G0R	17649428290128505	audio/mpeg	0	
cet6/audio/cet6-2025-06-set2.mp3	4616581	ltY-N243UmUTRZxcK9ORVmFxTY1a	17649428313379570	audio/mpeg	0	
